SMILES,logIE,correction
OC(=O)c1ccc(O)cc1,-0.16955101,-0.614656784
Nc1cccc(c1)C(O)=O,-1.9981916,-0.074296556
OC(=O)c1c(F)c(F)c(F)c(F)c1F,0.762142,0.621578729
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.7116792,0.099140228
CN(C)c1cccc(c1)C(O)=O,-0.74424255,-0.448709223
CC(C)c1ccc(cc1)C(O)=O,-1.1275969,-0.358550428
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,0.7112226,0.616414975
Oc1cccc(Cl)c1,-1.1332588,-0.100251281
Oc1cccc(Br)c1,-0.4208947,-0.043421109
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,0.7135111,0.169690343
Oc1cccc(c1)[N+]([O-])=O,0.5637973,0.44563409
Oc1ccc(cc1)[N+]([O-])=O,0.5636039,0.225225822
Oc1c(F)c(F)cc(F)c1F,0.30557108,-1.727550189
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,1.6255305,0.121055504
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,1.521558,0.170429266
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,0.75720996,0.235141458
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,0.96525675,0.053669852
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F,1.4502492,0.133007184
OC(C1=CC=CC(SC(F)(F)F)=C1)=O,0.68821937,0.012087307
Oc1c(Br)c(Br)c(Br)c(Br)c1Br,1.3471403,0.002118287
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1.5707998,0.075890293
OC(=O)c1ccccc1O,0.02235929,-1.203266266
Oc1ccccc1C#N,0.0846636,-1.498021175
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3,0.7181523,0.055062783
OC(=O)c1cc(I)cc(I)c1O,1.2194908,0.096673506
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,1.3252339,0.312112808
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,0.6327434,0.246734026
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,0.49702495,-2.38062487
Oc1ccc(Cl)cc1,-0.94869614,-0.258831143
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21,1.9011338,0.451247157
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.4686182,0.613866104
O=S(C1=CC=CC2=CC=CC=C21)(O)=O,1.0555985,1.24595425
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1,1.5375776,0.164831537
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O,0.94782263,0.895645261
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O,2.3544943,0.00619416
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,-0.46384108,-0.131319709
CCCCCCCCCCCCCC(O)=O,0.25703943,-1.362027363
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F,2.6273987,0.492840187
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O,1.7366166,0.061288318
ON1C(=O)c2ccccc2C1=O,-0.6097832,-0.582340293
OC(=O)c1ccccc1,-1.7799394,-1.118975492
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,0.49763846,0.50728865
OC(=O)c1cccc(c1)C(F)(F)F,-0.034898877,1.034553344
Oc1c(F)c(F)c(F)c(F)c1F,0.20611855,0.797922986
CC(C)(C)c1ccc(cc1)C(O)=O,-0.23053801,-0.646700076
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,2.397967,0.066938872
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,2.5791187,0.128676105
